"Nr.";"Anrede";"Titel";"Vorname";"Nachname";"Geburtsdatum";"Straße";"Hausnummer";"Postleitzahl";"Stadt";"Telefon";"Mobil";"Telefax";"EMail";"Newsletter";"Eintragsdatum"
"152";"k.A.";"";"Notker";"Nußbaumer";"";"Franz-Rinscheid-Straße";"161";"82481";"Mittenwald";"08823/55909244";"";"08823/60478928";"";"";"22.07.2017"
"153";"Herr";"";"Rutger";"Mackowiak";"";"Hähner Weg";"9";"24357";"Güby";"04354/69540986";"0151/7507282";"";"rutger_mackowiak@trashmail.none";"ja";"14.03.2002"
"154";"Herr";"";"Alwin";"Coenen";"";"Querstraße";"119b";"26409";"Wittmund";"04462/27499502";"0177/3135302";"";"alwincoenen@anymail.none";"";"09.02.1967"
"155";"Frau";"";"Notburg";"Pagel";"";"Kattenstraße";"51";"24848";"Klein Rheide";"04624/22617755";"0158/1623754";"";"";"";"20.12.2017"
"156";"Frau";"";"Irmhilde";"Kiener";"17.10.1952";"Gärtenstraße";"109";"76879";"Ottersheim";"07272/71751312";"";"";"";"";"23.08.1982"
"157";"Frau";"";"Elise";"Marktschreier";"";"Dr.-Hans-Brüll-Straße";"82";"56357";"Dessighofen";"02604/47986763";"0167/9554191";"";"";"nein";"27.01.1933"
"158";"Frau";"";"Florine";"Borchardt";"";"Kirchhofstraße";"22";"75328";"Schömberg";"";"0170/7952041";"";"f.borchardt@quickmail.none";"";"12.10.1990"
"159";"Herr";"";"Titus";"Molzahn";"";"Alter Weiher";"131c";"55546";"Fürfeld";"0671/31316593";"";"";"";"";"06.11.2016"
"160";"Herr";"";"Landolf";"Schüller";"26.10.1981";"Am Ottoturm";"85";"84169";"Altfraunhofen";"08705/19880594";"";"";"l.1981@company.none";"";"04.09.2007"
"161";"Herr";"";"Folkhardt";"Dahlhoff";"";"Hasley";"161";"66871";"Konken";"06384/60077337";"0168/7539031";"";"folkhardt-dahlhoff@ultramail.none";"";"03.11.1961"
"162";"Herr";"";"Ottmar";"Wurm";"";"Florentine-Eichler-Straße";"11";"74223";"Flein";"";"0165/3256614";"";"ottmar_wurm@domain.none";"nein";"22.01.1977"
"163";"Frau";"";"Merlind";"Fecher";"";"Josef-Leusch-Straße";"7";"74909";"Meckesheim";"06226/62752380";"0159/6972767";"";"merlind.fecher@xyz.none";"nein";"07.11.2015"
"164";"Herr";"";"Heinolf";"Schürer";"";"Werner-Seelenbinder-Straße";"82";"23898";"Sandesneben";"04536/89382226";"0157/6541482";"";"heinolf-schuerer@email.none";"";"12.01.1984"
"165";"Frau";"";"Leopoldina";"Niessen";"";"Peter-Rosegger-Straße";"146";"27616";"Kirchwistedt";"04747/61889351";"0168/7837598";"";"l.niessen@hoster.none";"";"02.03.2005"
"166";"Herr";"";"Wunnibald";"Knetsch";"07.05.2004";"Bühlstraße";"14";"56729";"Monreal";"02651/83454866";"0167/7242452";"";"wunnibald2004@justmail.none";"";"21.06.2020"
"167";"Frau";"";"Christl";"Hillebrecht";"";"Gocher Landstraße";"123";"19288";"Groß Laasch";"03874/30101592";"";"";"christl88@xyz.none";"ja";"26.10.1995"
"168";"Frau";"";"Altraud";"Rübsam";"08.10.1974";"Haaner Straße";"117";"54614";"Schönecken";"06553/62397161";"0157/3246628";"";"altraudruebsam@bestmail.none";"";"20.10.1974"
"169";"Herr";"";"Eginhard";"Emde";"08.12.1941";"Westholz";"105 c";"47800";"Krefeld";"02151/85998409";"0156/7375118";"";"eginhard_emde@private.none";"";"14.11.1983"
"170";"Herr";"";"Matti";"Thomann";"";"Breitenbachstraße";"144";"66484";"Kleinsteinhausen";"06332/54735833";"";"";"mattithomann@trashmail.none";"";"03.06.1982"
"171";"Herr";"";"Barthold";"Tams";"";"Eichholzstraße";"10c";"54441";"Ayl";"";"0153/1335660";"";"barthold-tams@company.none";"";"06.01.1986"
"172";"Frau";"";"Ingetrud";"Seiler";"28.04.1920";"Arenberger Straße";"176";"54597";"Burbach";"";"0171/7660506";"";"ingetrud.seiler@company.none";"";"11.08.1964"
"173";"Herr";"";"Lienard";"Grabs";"";"Gaterstraße";"163";"56254";"Müden";"02672/51936690";"0171/6713386";"";"";"";"02.12.2011"
"174";"k.A.";"";"Edwin";"Laakmann";"06.10.1933";"Nikolausweg";"124";"78467";"Konstanz";"";"0154/1627275";"";"e.laakmann@live-mail.none";"nein";"19.03.1984"
"175";"Frau";"";"Gefion";"Cakmak";"";"Diedenberg";"13";"49545";"Tecklenburg";"05482/53250551";"0170/4495066";"";"gefion_cakmak@inter-mail.none";"ja";"30.07.2018"
"176";"Frau";"";"Elsa";"Wünsche";"";"Am Rundstück";"159";"36396";"Steinau an der Straße";"";"0151/8365045";"";"elsa.wuensche@hoster.none";"";"23.02.2000"
"177";"Frau";"";"Kareen";"Dieterle";"";"Morschenicher Straße";"151c";"54533";"Hasborn";"06574/48115323";"";"";"";"";"01.06.1972"
"178";"Herr";"";"Bertin";"Söder";"25.03.1913";"Kümmelweg";"60";"56651";"Niederzissen";"02636/81863342";"";"";"b_soeder@ultramail.none";"";"09.03.1986"
"179";"Frau";"";"Winfriede";"Mattheis";"";"Gaulental";"156";"56281";"Karbach";"";"0177/1352022";"";"";"ja";"19.07.1953"
"180";"Herr";"";"Adalbert";"Glöckner";"";"Holzweiler Straße";"22";"48161";"Münster";"0251/79148569";"";"";"";"ja";"20.08.1954"
"181";"k.A.";"";"Erwin";"Quandt";"19.09.2009";"Eickenstraße";"44";"37647";"Vahlbruch";"05535/37782384";"0163/7124673";"05535/19476620";"";"ja";"13.11.2009"
"182";"Frau";"";"Mareen";"Gerloff";"21.05.1992";"Hardter Straße";"83";"38322";"Hedeper";"05336/99170864";"0163/9590151";"";"m-gerloff@xyz.none";"";"04.09.2010"
"183";"Herr";"";"Birk";"Sacher";"";"Nordwall";"67";"24329";"Dannau";"";"0179/8651054";"";"";"";"01.04.2015"
"184";"Frau";"";"Hedy";"Kain";"";"Auf dem Heidchen";"161";"66862";"Kindsbach";"06371/93529787";"0176/2624087";"";"hedy73@trashmail.none";"nein";"16.06.2003"
"185";"Herr";"";"Mike";"Ficker";"";"Kaulenweg";"48";"55758";"Niederhosenbach";"";"";"";"mficker@goggle-mail.none";"ja";"01.12.1967"
"186";"Frau";"";"Holdina";"Conrady";"31.12.2003";"Auf dem Rode";"49b";"10409";"Berlin";"030/59511736";"0158/6805172";"";"holdinaconrady@anymail.none";"";"25.11.2006"
"187";"Herr";"";"Ekkart";"Morina";"24.12.1907";"Auf der Alm";"168";"85551";"Kirchheim";"";"0168/2059808";"";"ekkart07@private.none";"nein";"26.05.1927"
"188";"Herr";"";"Wiegbert";"Haffner";"11.08.1907";"Josef-Suwelack-Weg";"116";"55779";"Heimbach";"06789/18762288";"0155/6579468";"";"w_haffner@domain.none";"";"17.09.2019"
"189";"Herr";"";"Hansgünther";"Volke";"08.04.1938";"Ankerstraße";"20";"06842";"Dessau";"0340/24746244";"";"";"hansguenther_volke@domain.none";"";"12.11.2005"
"190";"Herr";"";"Darius";"Strohmeyer";"";"Im Schlehental";"58";"67744";"Homberg";"06788/89923182";"0162/6538735";"";"dariusstrohmeyer@bestmail.none";"";"27.09.2005"
"191";"Herr";"";"Michel";"Grünig";"01.09.1968";"In der Kauth";"190";"69509";"Mörlenbach";"06209/95745226";"";"";"michel68@ultramail.none";"ja";"06.06.1973"
"192";"Herr";"";"Alphonsus";"Patzer";"";"Maastrichter Straße";"11";"67294";"Bischheim";"";"0151/3716122";"";"a_patzer@private.none";"";"06.03.2007"
"193";"Herr";"";"Theodor";"Denner";"";"Hörder Straße";"190";"82387";"Antdorf";"08856/71315611";"0170/8186874";"";"theodor1941@funmail.none";"";"21.11.1951"
"194";"Frau";"";"Rosa";"Gertz";"";"Immenweg";"166";"44359";"Dortmund";"0231/61727045";"0159/4533708";"";"r_gertz@xyz.none";"ja";"11.12.1979"
"195";"Frau";"Dr.";"Lieselore";"Stemmer";"02.12.2010";"Kaltenherberg";"64 b";"55452";"Dorsheim";"06721/3311560";"0153/4250475";"";"l_stemmer@inter-mail.none";"";"29.01.2021"
"196";"Frau";"";"Cathrin";"Pham";"";"Igelweg";"146";"74930";"Ittlingen";"07266/40456294";"";"07266/91721628";"c.pham@company.none";"ja";"18.10.2008"
"197";"Frau";"";"Gretlies";"Wieland";"";"Bahnhofsallee";"193";"66851";"Hauptstuhl";"06371/23665664";"";"";"gretlies.wieland@bestmail.none";"";"24.03.2022"
"198";"Frau";"";"Lindhilde";"Schmucker";"";"Hofgartenstraße";"199";"21720";"Steinkirchen";"04142/60992777";"0150/9682869";"";"lindhildeschmucker@quickmail.none";"";"08.03.2012"
"199";"Frau";"";"Liesel";"Zehnder";"";"Unter-Erler-Straße";"19";"30827";"Garbsen";"05131/49078909";"0162/8352333";"";"lieselzehnder@xyz.none";"";"18.09.2022"
"200";"Frau";"";"Stella";"Schwickert";"29.04.1974";"Friedlandstraße";"23";"31785";"Hameln";"05151/81087448";"0179/8374300";"";"sschwickert@anymail.none";"ja";"27.10.1998"
"201";"Frau";"";"Irmgart";"Jordan";"";"Lämmerstraße";"198";"45478";"Mülheim an der Ruhr";"0208/88349588";"";"";"i-jordan@retromail.none";"";"07.02.2013"
"202";"Frau";"Dr.";"Annehild";"Schrader";"";"Königstraße";"164";"92723";"Tännesberg";"";"0154/3596103";"";"";"nein";"18.12.1957"
"203";"Herr";"";"Hansl";"Väth";"26.12.2001";"Empeler Straße";"29";"98693";"Oberpörlitz";"03677/43996392";"0155/8799298";"";"hansl_vaeth@inter-mail.none";"";"25.05.2018"
"204";"Herr";"";"Gabriel";"Stommel";"15.12.1904";"Im Rehberg";"170";"67718";"Schmalenberg";"06307/9529929";"0169/5397201";"";"";"";"03.08.1912"
"205";"Frau";"";"Adelheid";"Figge";"";"Rühlscherweg";"190";"56593";"Bürdenbach";"02687/70843200";"0167/2003608";"";"adelheidfigge@quickmail.none";"ja";"09.05.2021"
"206";"Herr";"";"Withold";"Pausch";"16.10.1945";"Händelstraße";"185";"54472";"Hochscheid";"06531/75236915";"0172/5036125";"";"";"";"28.02.2019"
"207";"Frau";"";"Janett";"Winterstein";"";"Lehmkuhle";"7";"38704";"Liebenburg";"05346/46679430";"0157/2339912";"";"janett_winterstein@net-mail.none";"ja";"06.09.1983"
"208";"Frau";"";"Isabelle";"Struß";"23.01.1921";"Ringofenstraße";"179";"35285";"Gemünden";"06453/46844854";"0151/8325123";"";"isabelle-struss@live-mail.none";"";"30.06.1943"
"209";"Herr";"";"Giesbert";"Schöps";"";"Rotherhofstraße";"139";"91610";"Insingen";"09869/82853895";"0170/3285275";"";"giesbert-schoeps@bestmail.none";"";"29.11.1996"
"210";"Frau";"";"Lorena";"Wüllner";"";"Synagogenstraße";"80";"34396";"Liebenau";"05676/80730043";"";"";"";"";"30.05.1999"
"211";"Herr";"";"Cuno";"Roth";"";"Brunnengasse";"67";"56288";"Hasselbach";"06762/89220530";"0157/2221034";"";"";"";"12.01.2009"
"212";"Herr";"";"Lienard";"Schroeder";"";"Herchenrath";"137";"66871";"Pfeffelbach";"";"";"";"";"";"18.10.2006"
"213";"Frau";"";"Lilli";"Engelen";"";"Oberer Dalmerweg";"100";"36358";"Herbstein";"06643/15092068";"0163/5083105";"";"l67@spam-mail.none";"";"13.03.2008"
"214";"k.A.";"";"Barbara";"Borsch";"28.01.2015";"Wilhelm-Raabe-Straße";"138";"76889";"Oberschlettenbach";"06343/38684467";"";"";"barbara_borsch@mymail.none";"";"06.12.2018"
"215";"k.A.";"";"Vivien";"Schlögl";"";"Pützgasse";"4";"90587";"Tuchenbach";"";"0172/2376593";"";"";"";"01.10.1985"
"216";"Herr";"";"Lothar";"Proft";"";"An den Kirschbäumen";"69";"54309";"Newel";"06505/94070428";"0172/6138947";"";"lothar.1959@ultramail.none";"";"15.02.1975"
"217";"Frau";"";"Chiara";"Davis";"";"Dahlbergweg";"128";"22946";"Dahmker";"";"";"";"chiara_davis@kitty.none";"";"11.02.1991"
"218";"Frau";"";"Carola";"Polenz";"";"Gerhart-Hauptmann-Straße";"164";"44791";"Bochum";"0234/73644003";"0158/3774049";"";"carola-polenz@domain.none";"";"28.05.1994"
"219";"Frau";"";"Jette";"Thun";"";"Rosa-Luxemburg-Straße";"110";"84568";"Pleiskirchen";"";"0168/6986327";"";"jette.1961@web.none";"";"05.12.2002"
"220";"k.A.";"";"Hanneliese";"Stahnke";"";"Kalter Rain";"45";"21255";"Kakenstorf";"04182/870652";"0157/5083621";"";"";"";"09.10.1928"
"221";"Herr";"";"Silvio";"Hemme";"11.12.2018";"Böttgerstraße";"107";"64720";"Michelstadt";"06061/82069231";"";"";"silvio_hemme@private.none";"";"02.04.2021"
"222";"Frau";"";"Evelyn";"Caliskan";"20.04.1996";"Reiweg";"105";"66919";"Weselberg";"06375/649663";"0151/8437627";"06375/29954359";"ecaliskan@live-mail.none";"ja";"19.02.2017"
"223";"Frau";"";"Ramona";"Freigang";"";"Hermann-Löns-Straße";"152";"06842";"Dessau";"0340/48361464";"0168/1554020";"";"";"";"29.10.2015"
"224";"Frau";"";"Gotlind";"Messing";"";"Germaniastraße";"172";"56291";"Badenhard";"06746/98321605";"0154/5616387";"";"gotlind-messing@hoster.none";"nein";"30.01.1977"
"225";"Herr";"";"Mirko";"Speiser";"";"Ulrichstraße";"90";"37127";"Scheden";"05546/82046009";"0179/5150568";"";"";"";"23.10.2021"
"226";"Frau";"";"Röschen";"Severin";"12.08.1994";"Geibelstraße";"137";"95188";"Issigau";"";"0159/6835234";"";"roeschen-severin@goggle-mail.none";"";"04.04.2000"
"227";"k.A.";"";"Hermine";"Grüneberg";"03.02.1943";"Am Weidenbusch";"59";"26203";"Wardenburg";"04407/72361296";"0177/2147492";"";"hermine.grueneberg@goggle-mail.none";"ja";"27.06.1992"
"228";"Frau";"";"Irene";"Laube";"";"Bohnengasse";"177";"39307";"Karow";"03933/39098594";"0176/3835329";"03933/51000137";"i.laube@goggle-mail.none";"ja";"17.01.1962"
"229";"Herr";"";"Dankmar";"Deneke";"";"Pfarrgasse";"49";"72218";"Wildberg";"07054/40446627";"0165/6483120";"";"dankmar-deneke@trashmail.none";"";"15.06.1997"
"230";"Herr";"";"Arthur";"Klauck";"";"Buchholzer Weg";"135";"56589";"Datzeroth";"02638/10640994";"0161/5670806";"";"arthur-klauck@xyz.none";"";"19.06.1948"
"231";"Frau";"";"Christina";"Holzmann";"";"Kantweg";"116";"31226";"Peine";"05171/95617639";"";"";"c_1922@live-mail.none";"";"24.08.1995"
"232";"Frau";"";"Heideliese";"Spittler";"";"Oldenburger Straße";"125";"76829";"Leinsweiler";"06341/91458465";"0176/2835070";"";"";"";"14.05.2019"
"233";"Frau";"";"Jonna";"Schewe";"";"Anxbachstraße";"135";"79289";"Horben";"0761/54050181";"";"0761/9079263";"j.schewe@inter-mail.none";"";"23.12.2016"
"234";"k.A.";"";"Wilderich";"Steinhoff";"";"Feuerdornweg";"20";"14199";"Schmargendorf";"030/30680129";"0168/4635693";"";"w.50@validmail.none";"";"13.04.1977"
"235";"Herr";"";"Helfrid";"Hub";"";"Diesterwegstraße";"137";"54673";"Waldhof-Falkenstein";"06564/71515265";"0161/2426350";"";"";"nein";"13.08.2004"
"236";"Herr";"";"Gerhard";"Taubert";"18.06.1983";"Hinter Mont";"113b";"39638";"Wannefeld";"";"";"";"g.taubert@open-mail.none";"";"20.02.2012"
"237";"k.A.";"";"Erfried";"Niedermayer";"15.10.1911";"Scheidter Straße";"73";"25548";"Auufer";"04822/83825632";"0163/7001540";"";"e.niedermayer@live-mail.none";"";"13.01.1921"
"238";"Herr";"";"Friedolf";"Feldmeier";"13.04.1957";"Brunhildstraße";"63";"19205";"Gadebusch";"";"0165/9443079";"";"friedolf-1957@mymail.none";"";"20.12.1965"
"239";"Frau";"";"Huldine";"Frommelt";"09.04.1953";"Martinshöhe";"53";"31137";"Hildesheim";"05121/34312155";"0151/2812584";"";"huldine-frommelt@inter-mail.none";"";"09.11.2005"
"240";"Frau";"";"Jolande";"Grötsch";"";"Kannenbäckerstraße";"93";"72663";"Großbettlingen";"07022/607827";"";"";"";"ja";"22.12.2022"
"241";"Herr";"";"Noel";"Paschek";"";"Etzelbachstraße";"146";"88348";"Bad Saulgau";"07581/9641350";"0166/9368998";"";"noel_1911@net-mail.none";"ja";"03.03.1917"
"242";"Frau";"";"Kläre";"Janker";"05.05.1919";"Kesselheimer Straße";"27";"49757";"Lahn";"";"0170/6788079";"";"klaere_janker@trashmail.none";"ja";"22.05.1965"
"243";"k.A.";"";"Eckehard";"Hetzer";"";"Dimker Allee";"55";"77791";"Berghaupten";"07803/62665479";"0178/1482639";"";"eckehardhetzer@ultramail.none";"";"16.12.2014"
"244";"Herr";"";"Karleugen";"Röckl";"";"Henri-Dunant-Straße";"197";"66909";"Krottelbach";"06383/40857850";"";"06383/2826629";"karleugen_roeckl@anymail.none";"";"23.03.1947"
"245";"Herr";"";"Steve";"Ried";"";"Helle Bieke";"133";"26835";"Hesel";"";"0167/3705996";"";"steve_ried@hoster.none";"";"12.05.2002"
"246";"Herr";"";"Wernfried";"Anker";"";"Plaidter Weg";"151";"21635";"Jork";"04162/90248355";"0173/5618753";"";"wernfried_anker@anymail.none";"nein";"27.08.2010"
"247";"k.A.";"";"Vivien";"Sohr";"26.11.1986";"Leibnizstraße";"158";"67759";"Reichsthal";"06361/77645097";"0159/5502809";"06361/46779836";"vsohr@kitty.none";"";"27.04.1995"
"248";"Herr";"";"Keno";"Krebs";"";"An der Stadtmauer";"89";"44628";"Herne";"02323/6787892";"0161/7894046";"";"kenokrebs@bestmail.none";"";"11.12.1951"
"249";"Frau";"";"Annabell";"Hense";"";"Breede";"100";"55291";"Saulheim";"06732/4877806";"0170/6022740";"";"annabell-64@hoster.none";"";"30.09.1984"
"250";"k.A.";"";"Irlanda";"Wrede";"";"Lenningser Straße";"176";"82549";"Königsdorf";"08179/89032947";"0174/1480218";"";"";"ja";"20.01.2011"
"251";"Frau";"";"Ilsebärbel";"Hake";"";"Schützweg";"103a";"86934";"Reichling";"08194/70715903";"0155/1924238";"";"ilsebaerbel_hake@live-mail.none";"ja";"19.09.2019"
"252";"Frau";"Dr.";"Dorina";"Nebe";"";"Münstereifeler Straße";"9";"54533";"Willwerscheid";"06541/76061057";"0167/4582936";"06541/28878121";"";"ja";"31.12.2003"
"253";"Herr";"";"Albrecht";"Quade";"31.05.1962";"Hanstraße";"67";"51545";"Waldbröl";"02291/85828258";"0150/2176904";"";"albrecht.quade@net-mail.none";"";"20.09.2003"
"254";"k.A.";"";"Jette";"Ruppel";"";"Im Teich";"83";"88094";"Oberteuringen";"07546/1266884";"";"";"jetteruppel@anymail.none";"";"15.01.1999"
"255";"Herr";"";"Sylvius";"Schwinn";"18.05.1988";"Katharina-Kasper-Straße";"73";"88138";"Hergensweiler";"08388/13033981";"0175/8701963";"";"";"";"05.05.1994"
"256";"Herr";"";"Olaf";"Siebers";"26.02.1936";"Rheinlandstraße";"57";"55452";"Guldental";"06704/98049780";"0178/4275172";"";"o.1936@inter-mail.none";"";"20.02.1991"
"257";"Herr";"";"Tobias";"Euler";"18.05.1964";"Elsbacher Straße";"181";"12687";"Marzahn";"030/82282988";"0164/3750986";"";"";"";"31.07.1979"
"258";"Herr";"";"Ronny";"Wenzlaff";"";"Ludgeristraße";"62";"32369";"Rahden";"05771/91488748";"0171/6695954";"";"";"";"30.05.1988"
"259";"Frau";"";"Sigunde";"Einhaus";"";"Im Broich";"64";"97250";"Erlabrunn";"";"0162/1600777";"09364/25143207";"";"";"30.11.1965"
"260";"Herr";"";"Randolph";"Peiffer";"";"Willicher Straße";"139";"24977";"Grundhof";"04636/12109300";"0158/5351407";"";"";"";"26.06.2021"
"261";"Frau";"";"Sonnhild";"Gier";"";"Peter-Dausenau-Straße";"12";"54552";"Ellscheid";"06592/10126562";"0162/9429091";"";"sonnhild-gier@spam-mail.none";"";"05.07.2021"
"262";"Frau";"Dr.";"Merlinde";"Muller";"";"Wingertsberg";"52";"78343";"Gaienhofen";"07732/97581086";"0164/3607201";"";"merlinde-muller@inter-mail.none";"ja";"06.06.1972"
"263";"Herr";"";"Hansjoachim";"Feix";"";"Ahr-Rotweinstraße";"6";"57632";"Seelbach";"";"";"";"hansjoachim-feix@validmail.none";"";"07.07.1976"
"264";"Herr";"";"Fred";"Hanke";"";"Am Hahn";"71";"52457";"Aldenhoven";"02464/37414276";"0167/2705358";"02464/36909403";"fredhanke@xyz.none";"";"09.05.2012"
"265";"Frau";"";"Marietheres";"Linhart";"";"Untersbergstraße";"12";"25770";"Hemmingstedt";"0481/83055683";"0164/8605677";"";"marietheres.linhart@ultramail.none";"ja";"20.11.2005"
"266";"Herr";"";"Hariolf";"Frölich";"";"Goldberger Straße";"6";"79802";"Dettighofen";"07742/70028442";"0158/9666404";"";"hariolf.froelich@trashmail.none";"ja";"09.11.2008"
"267";"Frau";"";"Ingunde";"Pfarr";"";"Auf dem Schoppen";"29";"65399";"Kiedrich";"06123/23755776";"0153/1551463";"";"ingunde.pfarr@trashmail.none";"ja";"28.12.2022"
"268";"Herr";"";"Muhammed";"Ehmke";"03.04.1972";"Vor der Hardt";"10";"25761";"Hedwigenkoog";"04834/86774008";"";"";"muhammed1972@trashmail.none";"";"05.05.1986"
"269";"Frau";"";"Notburga";"Reichow";"";"Kalverkamp";"71";"84371";"Triftern";"";"0168/7995923";"";"notburga_reichow@domain.none";"";"19.07.2004"
"270";"Herr";"";"Friedbert";"Bahn";"";"Karnhöfener Straße";"70";"85092";"Kösching";"08456/27178340";"";"";"";"nein";"24.10.1960"
"271";"Herr";"";"Rudolph";"Schwenzer";"";"Kösliner Straße";"68";"92545";"Niedermurach";"09671/48543605";"";"";"rudolph.schwenzer@private.none";"";"12.03.1995"
"272";"Herr";"";"Alhard";"Gabel";"15.06.1924";"Seeligenweg";"122";"93164";"Laaber";"";"0165/4550880";"";"agabel@private.none";"ja";"18.05.1929"
"273";"Frau";"";"Simperta";"Overbeck";"";"Stormstraße";"107";"84416";"Taufkirchen";"";"0179/8920278";"";"";"";"26.01.1962"
"274";"Frau";"";"Jolande";"Schemel";"11.03.1972";"Holmichstraße";"99";"74363";"Güglingen";"07135/5729534";"0163/6896202";"";"jolande-schemel@bestmail.none";"ja";"31.10.1981"
"275";"Herr";"";"Berndt";"Zeh";"";"Zumriederstraße";"69";"48653";"Coesfeld";"02541/99505187";"0170/1508654";"";"b_10@net-mail.none";"";"27.06.2002"
"276";"Frau";"";"Sissy";"Büschel";"";"Uesser Weg";"57a";"61184";"Karben";"06039/14506159";"";"";"sissy-bueschel@web.none";"";"15.04.2010"
"277";"Herr";"";"Can";"Jaekel";"";"Sonnenallee";"50";"56370";"Oberfischbach";"06486/60876190";"0155/9951503";"";"can.jaekel@spam-mail.none";"";"11.04.1969"
"278";"Herr";"";"René";"Glaab";"";"Postdamm";"31";"52372";"Kreuzau";"";"0165/2870956";"";"rene_90@spam-mail.none";"";"17.08.2021"
"279";"k.A.";"";"Josefine";"Mühl";"";"Ansbacher Straße";"176";"84508";"Burgkirchen an der Alz";"08679/87002137";"0155/4247059";"";"j.muehl@anymail.none";"";"03.12.1967"
"280";"Frau";"";"Elselore";"Etzel";"";"An der Schluse";"185";"25365";"Klein Offenseth-Sparrieshoop";"04121/7271329";"0155/7494466";"04121/84658350";"e_etzel@private.none";"";"02.05.2003"
"281";"Frau";"";"Karolina";"Rinke";"";"Kreuzgartenweg";"185";"79669";"Zell";"07625/200118";"";"";"karolina-1903@private.none";"nein";"04.12.1966"
"282";"Herr";"";"Tom";"Rosinski";"";"Paulusstraße";"38";"50389";"Wesseling";"02236/7671433";"0172/6163263";"";"tom_rosinski@validmail.none";"";"04.12.1973"
"283";"k.A.";"";"Hansjörg";"Hetterich";"";"Halterner Straße";"136";"66887";"Ulmet";"06381/14429449";"0157/9350785";"";"h.hetterich@mymail.none";"";"02.04.1963"
"284";"Frau";"";"Ingetrud";"Gundelach";"15.02.1991";"Werningslebener Straße";"155";"14195";"Dahlem";"030/21723672";"";"";"i.gundelach@bestmail.none";"";"19.07.2003"
"285";"Frau";"";"Annalene";"Schierholz";"";"Emscherstraße";"197";"63856";"Bessenbach";"06095/33640324";"0177/4369783";"";"a.1972@trashmail.none";"";"10.05.1988"
"286";"k.A.";"";"Evelin";"Grotheer";"";"Mühlenhardtstraße";"142";"65620";"Waldbrunn";"06479/78949778";"0155/7953361";"";"evelin.grotheer@bestmail.none";"nein";"28.10.2019"
"287";"Herr";"";"Barnabas";"Juchem";"";"Andreas-Sapper-Straße";"194";"54329";"Konz";"06501/92201135";"0163/5641954";"";"";"";"25.06.2018"
"288";"Herr";"";"Silas";"Rogowski";"";"Thüringer Weg";"179";"67152";"Ruppertsberg";"06326/9262288";"";"";"silas-rogowski@xyz.none";"ja";"30.08.2003"
"289";"Herr";"";"Hildebrand";"Theile";"";"Asterstraße";"102";"56472";"Stockhausen-Illfurth";"02661/77423427";"0178/5540829";"02661/68336290";"hildebrand.theile@validmail.none";"ja";"09.10.2019"
"290";"Herr";"";"Herger";"Willeke";"05.01.1952";"Am Tannenhain";"120";"54612";"Lasel";"06551/27765005";"0165/3937011";"";"herger_1952@hoster.none";"ja";"27.11.2005"
"291";"Herr";"";"Erni";"Henneberg";"";"Zur Geest";"195";"56814";"Ediger-Eller";"02675/86989001";"0155/9502095";"";"";"ja";"11.01.1978"
"292";"k.A.";"";"Ursus";"Diener";"02.03.1957";"Am Heckelchen";"44";"15732";"Eichwalde";"030/8083363";"";"";"ursus_diener@open-mail.none";"";"27.01.1978"
"293";"Herr";"";"Otmar";"Klaiber";"";"Im Lampental";"83";"55629";"Schwarzerden";"06765/51330579";"";"";"oklaiber@mymail.none";"";"15.05.2010"
"294";"Herr";"";"Frohmund";"Böttger";"";"Nordhausstraße";"178";"66822";"Lebach";"06881/81088536";"0178/5621081";"";"f.boettger@inter-mail.none";"";"26.04.2020"
"295";"Frau";"";"Marinette";"Sammet";"11.11.1983";"Beethovenring";"144";"16321";"Bernau";"03338/67205067";"0179/2366654";"03338/65003608";"marinette_sammet@domain.none";"";"05.09.2010"
"296";"Frau";"";"Kordula";"Blöchl";"";"Im Wieschen";"59";"67744";"Cronenberg";"06382/7956984";"0173/3596295";"";"kordula-bloechl@validmail.none";"";"10.01.2017"
"297";"Frau";"";"Elke";"Broll";"20.06.1962";"Stotzheimer Straße";"76 b";"64395";"Brensbach";"06161/30812220";"0177/8914811";"";"elkebroll@email.none";"nein";"26.01.1993"
"298";"Frau";"Dr.";"Vroni";"Dibbern";"";"Plaidterwegsrest";"104a";"56414";"Obererbach";"06435/94203443";"";"";"vronidibbern@quickmail.none";"ja";"03.04.1958"
"299";"Frau";"";"Annkathrin";"Barsch";"";"Ernststraße";"1";"55758";"Bruchweiler";"06785/50425022";"0167/9931401";"";"annkathrin-barsch@xyz.none";"ja";"12.12.2009"
"300";"Frau";"";"Klaudia";"Patz";"";"Max-Liebermann-Straße";"17";"35644";"Hohenahr";"06446/18080405";"0150/4609813";"";"klaudia.patz@company.none";"ja";"16.02.2001"
"301";"Herr";"";"Jeremie";"Reynolds";"02.04.1989";"Auf der Spreeg";"93";"66894";"Langwieden";"06372/9944534";"";"06372/14065134";"jeremiereynolds@retromail.none";"";"27.09.2005"
"302";"Frau";"Prof. Dr.";"Kathrein";"Brey";"";"Niederberger Straße";"22";"57610";"Gieleroth";"02681/87050143";"";"";"k_brey@company.none";"";"11.09.2015"
"303";"Herr";"";"Markwart";"Pollmann";"28.04.1963";"Hasselweg";"88";"17349";"Voigtsdorf";"03968/13736838";"0166/2046741";"";"";"";"29.07.1971"
